order_id,customer_id,customer_name,sales_rep,region,country,sales_channel,product_id,product_name,category,order_date,quantity,unit_price,discount,shipping_cost,payment_method,order_status,customer_rating,sales_target,customer_age,customer_segment,warehouse,is_priority,delivery_days,return_reason,gross_sales,discount_amount,net_sales,profit
Ord-10450,Cust-1100,Isabela Nogueira,Emma Wilson,North,France,Online,Prod-124,Desk,Electronics,2022-09-14,16,734.89,0.212,43.63,Bank Transfer,Completed,3.5,2644.01,27.0,Enterprise,Wh-01,Yes,8.0,,11758.24,2492.74688,9265.49312,9221.86312
Ord-10755,Cust-1011,Rafael Teixeira,Carla Davis,North,France,Retail,Prod-120,Tablet,Food,2024-03-15,Ten,1158.59,0.038,2.82,Cash,Completed,1.5,1572.65,68.0,Consumer,Wh-04,No,3.0,Wrong Item,5792.95,220.1321,5572.8179,5569.9979
Ord-10531,Cust-1009,Rafael Costa,Daniel Brown,East,Germany,Wholesale,Prod-119,Chair,Office Supplies,2022-09-10,13,1930.07,0.222,104.55,Bank Transfer,Completed,1.3,8963.15,58.0,Corporate,Wh-04,Yes,13.0,Wrong Item,25090.91,5570.18202,19520.72798,19416.17798
Ord-10377,Cust-1094,Camila Oliveira,Emma Wilson,South,Uk,Online,Prod-134,Headphones,Office Supplies,2023-01-11,13,541.73,0.268,17.31,Debit Card,Completed,3.1,9895.93,61.0,Consumer,Wh-03,No,6.0,Late Delivery,7042.49,1887.38732,5155.10268,5137.79268
Ord-10998,Cust-1191,Larissa Monteiro,Grace Taylor,South,Uk,Online,Prod-140,Tablet,Food,2022-08-29,6,1100.83,0.035,63.32,Debit Card,Cancelled,2.8,5475.63,24.0,Small Business,Wh-03,No,10.0,Customer Changed Mind,6604.98,231.1743,6373.8057,6310.4857
Ord-10313,Cust-1098,Laura Vieira,Grace Taylor,South,Canada,Online,Prod-139,Headphones,Electronics,2024-08-15,14,2346.21,0.104,104.13,Credit Card,Completed,2.6,2231.98,,Small Business,Wh-03,No,11.0,Wrong Item,32846.94,3416.08176,29430.85824,29326.72824
Ord-10962,Cust-1336,Renata Castro,Frank Miller,North,Australia,Direct,Prod-114,Laptop,Clothing,2025-04-09,10,2410.04,0.008,111.51,Bank Transfer,Returned,2.1,4864.69,33.0,Consumer,Wh-01,No,2.0,Wrong Item,24100.4,192.8032,23907.596800000003,23796.086800000005
Ord-10547,Cust-1335,Camila Santos,Alice Johnson,East,France,Wholesale,Prod-145,Mouse,Furniture,2023-03-23,19,1408.47,0.128,56.72,Debit Card,Completed,4.7,5514.8,56.0,Corporate,Wh-02,Yes,7.0,Damaged,26760.93,3425.39904,23335.53096,23278.81096
Ord-11140,Cust-1327,Clara Vieira,Carla Davis,South,Germany,Direct,Prod-128,Monitor,Food,2023-12-09,10,1252.44,0.046,145.23,Cash,Completed,2.4,1697.5,38.0,Enterprise,Wh-04,Yes,5.0,,12524.4,576.1224000000001,11948.2776,11803.047600000002
Ord-10598,Cust-1226,Priscila Cardoso,Daniel Brown,Central,Australia,Retail,Prod-115,Tablet,Furniture,2023-08-14,17,1339.59,0.104,89.08,Bank Transfer,Completed,2.7,9680.17,54.0,Enterprise,Wh-02,Yes,2.0,,22773.03,2368.39512,20404.63488,20315.55488
