order_id,customer_id,customer_name,sales_rep,region,country,sales_channel,product_id,product_name,category,order_date,quantity,unit_price,discount,shipping_cost,payment_method,order_status,customer_rating,sales_target,customer_age,customer_segment,warehouse,is_priority,delivery_days,return_reason,gross_sales,discount_amount,net_sales,profit,completely_empty_column_1,completely_empty_column_2,mostly_empty_notes,blank_column_1,Unnamed: blank_column,system_audit_dummy,internal_notes
ORD-10450,CUST-1100,Isabela Nogueira,Emma Wilson,North,France,ONLINE,PROD-124,Desk,Electronics,2022/09/14,16,734.89,0.212,43.63,Bank Transfer,Completed,3.5,2644.01,27.0,Enterprise,WH-01,Yes,8.0,,11758.24,2492.74688,9265.49312,9221.86312,,,,,,,
ORD-10755,CUST-1011,Rafael Teixeira,Carla Davis,North,France,Retail,PROD-120,Tablet,Food,2024-03-15 00:00:00,ten,1158.59,0.038,2.82,Cash,Completed,1.5,1572.65,68.0,Consumer,WH-04,No,3.0,Wrong Item,5792.95,220.1321,5572.8179,5569.9979,,,,,,,
ORD-10531,CUST-1009,Rafael Costa,Daniel Brown,East,Germany,Wholesale,PROD-119,Chair,Office Supplies,2022-09-10 00:00:00,13,1930.07,0.222,104.55,Bank Transfer,Completed,1.3,8963.15,58.0,Corporate,WH-04,Yes,13.0,Wrong Item,25090.91,5570.18202,19520.72798,19416.17798,,,,,,,
ORD-10377,CUST-1094,Camila Oliveira,Emma Wilson,South,UK,Online,PROD-134,Headphones,Office Supplies,2023-01-11 00:00:00,13,541.73,0.268,17.31,Debit Card,Completed,3.1,9895.93,61.0,Consumer,WH-03,No,6.0,Late Delivery,7042.49,1887.38732,5155.10268,5137.79268,,,,,,,
ORD-10998,CUST-1191,Larissa Monteiro,Grace Taylor,South,UK,Online,PROD-140,Tablet,Food,2022-08-29 00:00:00,6,1100.83,0.035,63.32,Debit Card,Cancelled,2.8,5475.63,24.0,Small Business,WH-03,No,10.0,Customer Changed Mind,6604.98,231.1743,6373.8057,6310.4857,,,,,,,
ORD-10313,CUST-1098,Laura Vieira,Grace Taylor,South,Canada,Online,PROD-139,Headphones,Electronics,2024-08-15 00:00:00,14,2346.21,0.104,104.13,Credit Card,Completed,2.6,2231.98,,Small Business,WH-03,No,11.0,Wrong Item,32846.94,3416.08176,29430.85824,29326.72824,,,,,,,
ORD-10962,CUST-1336,Renata Castro,Frank Miller,North,Australia,Direct,PROD-114,Laptop,Clothing,2025-04-09 00:00:00,10,2410.04,0.008,111.51,Bank Transfer,Returned,2.1,4864.69,33.0,Consumer,WH-01,No,2.0,Wrong Item,24100.4,192.8032,23907.596800000003,23796.086800000005,,,,,,,
ORD-10547,CUST-1335,camila santos,Alice Johnson,East,France,Wholesale,PROD-145,Mouse,Furniture,2023-03-23 00:00:00,19,1408.47,0.128,56.72,Debit Card,Completed,4.7,5514.8,56.0,Corporate,WH-02,Yes,7.0,Damaged,26760.93,3425.39904,23335.53096,23278.81096,,,,,,,
ORD-11140,CUST-1327,Clara Vieira,Carla Davis,South,Germany,Direct,PROD-128,Monitor,Food,2023-12-09 00:00:00,10,1252.44,0.046,145.23,Cash,Completed,2.4,1697.5,38.0,Enterprise,WH-04,Yes,5.0,,12524.4,576.1224000000001,11948.2776,11803.047600000002,,,,,,,
ORD-10598,CUST-1226,Priscila Cardoso,  Daniel Brown ,Central,Australia,Retail,PROD-115,Tablet,Furniture,2023-08-14 00:00:00,17,1339.59,0.104,89.08,Bank Transfer,Completed,2.7,9680.17,54.0,Enterprise,WH-02,Yes,2.0,,22773.03,2368.39512,20404.63488,20315.55488,,,,,,,
ORD-10096,CUST-1251,Ramon Azevedo,Grace Taylor,East,Australia,Direct,PROD-100,Phone,Food,2022-11-11 00:00:00,15,2402.75,,97.68,PayPal,Completed,,6581.25,65.0,Enterprise,WH-02,No,9.0,Wrong Item,36041.25,7893.03375,28148.21625,28050.53625,,,,,,,
ORD-10562,CUST-1322,Henrique Costa,Carla Davis,South,Australia,Wholesale,PROD-101,Laptop,Clothing,2024-04-18 00:00:00,18,1340.13,0.184,14.29,Cash,Completed,2.3,4935.76,69.0,Consumer,WH-02,No,7.0,Customer Changed Mind,24122.340000000004,4438.510560000001,19683.82944,19669.53944,,,,,,,
ORD-10779,CUST-1211,Beatriz Oliveira,Bob Smith,North,France,Wholesale,PROD-140,Chair,Clothing,2022-02-07 00:00:00,15,815.03,0.148,9.08,Credit Card,Completed,3.0,3296.7,41.0,Consumer,WH-01,Yes,7.0,Customer Changed Mind,12225.45,1809.3666,10416.0834,10407.0034,,,,,,,
ORD-10340,CUST-1237,Thiago Souza,Frank Miller,North,Brazil,Direct,PROD-109,Desk,Food,2025-08-29 00:00:00,13,373.63,0.19,71.02,Bank Transfer,Completed,2.6,6130.31,18.0,Enterprise,WH-01,No,7.0,,4857.19,922.8661,3934.3239,3863.3039,,,,,,,
ORD-10376,CUST-1180,Diego Ramos,Bob Smith,West,Brazil,Direct,PROD-133,Tablet,Office Supplies,2022-02-26 00:00:00,3,669.07,0.021,74.02,PayPal,Completed,1.4,897.7,19.0,Small Business,WH-01,Yes,13.0,Wrong Item,2007.21,42.151410000000006,1965.05859,1891.03859,,,,,,,
ORD-10538,CUST-1393,Lucas Pereira,Alice Johnson,West,France,Wholesale,PROD-103,Monitor,CLOTHING,2022-10-26 00:00:00,10,2000.2,0.014,142.34,Debit Card,Cancelled,,9535.53,69.0,Small Business,WH-03,No,1.0,Damaged,20002.0,280.028,19721.972,19579.632,,,,,,,
ORD-10650,CUST-1056,Bruno Pereira,Emma Wilson,West,Brazil,Retail,PROD-137,Chair,Electronics,2023-12-11 00:00:00,16,1975.76,0.193,104.93,Credit Card,Completed,1.8,3052.41,20.0,Consumer,WH-01,No,10.0,Wrong Item,31612.16,6101.14688,25511.01312,25406.08312,,,,,,,
ORD-10452,CUST-1052,Daniel Ramos,Carla Davis,South,Germany,Retail,PROD-140,Phone,Office Supplies,2025-09-30 00:00:00,10,1988.02,0.085,114.38,Cash,Completed,3.3,5539.97,51.0,Corporate,WH-03,No,14.0,Wrong Item,19880.2,1689.8170000000002,18190.383,18076.003,,,,,,,
ORD-10958,CUST-1106,Matheus Nogueira,Daniel Brown,West,UK,Direct,PROD-122,Headphones,Electronics,2022-09-14 00:00:00,18,2447.43,0.219,48.53,Credit Card,Completed,2.3,5752.26,27.0,Corporate,WH-03,No,7.0,Late Delivery,44053.74,9647.76906,34405.97094,34357.44094,,,,,,,
ORD-10383,CUST-1160,Pedro Gomes,,East,Canada,Online,PROD-121,Printer,Clothing,2022-03-17 00:00:00,15,429.48,0.143,144.65,Debit Card,Completed,2.2,2934.97,48.0,Enterprise,WH-01,No,9.0,Late Delivery,6442.200000000001,921.2346,5520.965400000001,5376.315400000001,,,,,,,
ORD-10644,CUST-1395,Felipe Santos,Bob Smith,West,Brazil,Direct,PROD-110,Coffee Maker,Office Supplies,2024-09-17 00:00:00,10,14.4,0.022,119.84,Bank Transfer,Completed,3.3,7861.22,37.0,Enterprise,WH-03,No,7.0,Late Delivery,144.0,3.168,140.832,20.99199999999999,,,,,,,
ORD-10751,CUST-1053,Rodrigo Silva,Alice Johnson,Central,Canada,Online,PROD-124,Monitor,Electronics,2022-07-17 00:00:00,18,628.44,0.282,24.64,Debit Card,Completed,1.7,501.67,65.0,Small Business,WH-01,No,9.0,Customer Changed Mind,11311.920000000002,3189.96144,8121.958560000002,8097.3185600000015,,,Manual review,,,,
ORD-10992,CUST-1238,Lucas Rocha,,Central,France,Online,PROD-102,Chair,Electronics,2025-12-11 00:00:00,5,2097.55,0.28,23.67,,Completed,1.6,9860.9,23.0,Consumer,WH-04,No,4.0,,10487.75,2936.57,7551.18,7527.51,,,,,,,
ORD-10305,CUST-1115,Mariana Cardoso,Bob Smith,east,UK,Retail,PROD-113,Tablet,electronics,2025-07-15 00:00:00,18,"2,292.43",0.101,36.88,Cash,Completed,1.1,3349.46,61.0,Small Business,WH-01,No,2.0,Damaged,41263.74,4167.63774,37096.10226,37059.22226,,,,,,,
ORD-11167,CUST-1124,Henrique Azevedo,Emma Wilson,Central,Germany,Direct,PROD-148,Monitor,Office Supplies,2024-10-31 00:00:00,4,1817.83,0.017,34.46,Bank Transfer,Completed,2.2,7074.71,61.0,Small Business,WH-03,No,12.0,Damaged,7271.32,123.61244,7147.70756,7113.24756,,,,,,,
ORD-10100,CUST-1156,Leonardo Ribeiro,Bob Smith,East,USA,Direct,PROD-116,  Mouse ,Food,2023-07-14 00:00:00,15,68.55,0.086,33.67,Cash,Returned,3.6,7803.19,25.0,Consumer,WH-01,Yes,14.0,Customer Changed Mind,1028.25,88.42949999999999,939.8205,906.1505,,,,,,,
ORD-10620,CUST-1083,Laura Ferreira,Alice Johnson,South,Brazil,Wholesale,PROD-117,Coffee Maker,Electronics,2022-10-26 00:00:00,16,2460.68,0.171,78.83,Cash,Cancelled,4.0,3038.25,48.0,Enterprise,WH-03,Yes,12.0,Damaged,39370.88,6732.42048,32638.45952,32559.629519999995,,,,,,,
ORD-10449,CUST-1053,Daniel Azevedo,Daniel Brown,North,France,Retail,PROD-101,Notebook,   ,01/14/2022,15,1498.6,0.05,89.18, ,Completed,1.8,9620.31,48.0,Consumer,WH-03,No,6.0,Damaged,22479.0,1123.95,21355.05,21265.87,,,,,,,
